Gene,Average_Score,Classification,Cortex,Striatum,hiPSC,Fetal,SynGO,GO Synapse,SynDB,SynSysNet
AGO3,4.333353801967944,Negative,0,0,0,0,0,0,0,0
AGO4,4.591392249185667,Negative,1,0,0,0,0,0,0,0
AGPAT1,5.269525117036999,EnSig,1,0,1,0,0,0,0,0
AGPAT2,4.685584011546666,EnSig,0,0,0,0,0,0,0,0
AGPAT3,4.430532475135333,Negative,1,0,0,0,0,0,0,0
AGPAT4,4.304131193504666,Negative,0,0,1,0,0,0,0,0
AGPAT5,4.6236764593670285,Negative,1,0,1,0,0,0,1,0
AGPS,4.44482194006475,Negative,1,0,1,0,0,0,0,0
AGR2,4.2855926802535,Negative,0,0,0,0,0,0,0,0
AGTPBP1,4.051909001824998,Negative,0,0,1,0,0,0,0,0
AGTR2,4.4641564269702485,Negative,0,0,0,0,0,0,0,0
AGTRAP,4.249267916466499,Negative,0,0,0,0,0,0,0,0
AGXT,4.462073488478833,Negative,0,0,0,0,0,0,0,0
AGXT2,4.665459540364499,Negative,0,0,0,0,0,0,0,0
AHCTF1,5.102715994408,EnSig,0,0,1,0,0,0,0,0
AHCY,4.40971219322325,Negative,0,0,1,1,0,0,0,0
AHCYL1,4.776748580744667,EnSig,1,1,1,0,0,0,1,0
AHCYL2,4.310707148205417,Negative,1,1,1,0,0,0,0,0
AHI1,4.049287895981651,Negative,1,0,0,0,0,0,0,0
AHNAK,4.894946596156892,EnSig,0,0,0,1,0,0,1,0
AHR,4.551813586503499,Negative,0,0,0,0,0,0,0,0
AHRR,4.3149634059735,Negative,0,0,0,0,0,0,0,0
AHSA1,4.294223078734833,Negative,1,1,1,0,0,0,1,1
AHSG,4.719009816293231,EnSig,0,0,0,0,0,0,0,0
AIDA,4.620833682023,Negative,0,0,1,0,0,0,0,0
AIFM1,4.525153564150333,Negative,1,1,1,0,0,0,0,0
AIFM3,4.379973353739416,Negative,1,0,0,0,0,0,0,0
AIM2,4.400821963167666,Negative,0,0,0,0,0,0,0,0
AIMP1,4.268360881137417,Negative,1,0,1,0,0,0,0,0
AIMP2,4.403497866872667,Negative,0,0,1,0,0,0,0,0
AIP,4.651434401193666,Negative,1,0,1,0,0,0,1,0
AIRE,4.598591022353332,Negative,0,0,0,0,0,0,0,0
AJAP1,4.5381004916053405,Negative,0,0,0,0,0,0,0,0
AJUBA,4.333925831726952,Negative,0,0,0,0,0,0,0,0
AK1,4.105640428543082,Negative,1,1,1,0,0,0,1,0
AK2,4.238881651524375,Negative,1,0,1,0,0,0,0,0
AK3,4.650743375774999,Negative,1,1,0,0,0,0,1,0
AK4,4.434168775362688,Negative,1,0,1,0,0,0,0,0
AK5,4.405020471185999,Negative,1,1,0,0,0,0,1,0
