genes,Synapse Percentile
APOL1,9.012663237039968
APOL2,70.07320933913732
APOL3,21.537396121883656
APOL5,20.05342303126237
APOL6,60.18994855559953
APOO,59.89315393747527
APOOL,47.94222398100514
APP,99.99999999999999
APPBP2,93.66838148001582
APPL1,89.14721013058963
APPL2,55.07518796992481
APRT,50.73209339137317
APTX,65.2354570637119
AQP1,71.44835773644638
AQP2,6.420656905421448
AQP4,75.59358923624852
AQP5,17.43173723783142
AQP7,19.45983379501385
AQP8,3.294420261179264
AQP9,18.787099327265533
AQR,70.37000395726157
AR,96.73525920063317
ARAF,89.32528690146418
ARAP1,91.23466561139692
ARAP2,92.81757024139296
ARAP3,70.17214087851207
ARCN1,72.91254451919272
AREL1,36.446379105658885
ARF1,92.66917293233082
ARF3,95.60743965176098
ARF4,72.55639097744361
ARF5,11.98060941828255
ARF6,85.18005540166205
ARFGAP2,75.96952908587258
ARFGAP3,48.53581321725366
ARFGEF1,96.03284527107242
ARFGEF2,94.10368025326474
ARFIP1,76.77087455480807
ARFIP2,72.90265136525524
ARFRP1,20.90423426988524
ARG1,26.206964780371983
ARG2,3.482390185991294
ARGLU1,53.41313810842897
ARHGAP1,76.17728531855956
ARHGAP10,70.13256826276216
ARHGAP11A,35.24930747922438
ARHGAP15,64.20656905421448
ARHGAP17,81.23268698060942
ARHGAP18,29.461812425801345
ARHGAP19,44.12346656113969
ARHGAP20,48.74356944994064
ARHGAP21,81.48990898298378
ARHGAP22,53.27463395330432
ARHGAP24,67.78789077958054
ARHGAP25,43.99485555995251
ARHGAP26,91.72932330827068
ARHGAP27,58.36960823110408
ARHGAP29,58.19153146022952
ARHGAP31,47.73446774831817
ARHGAP32,85.26909378709932
ARHGAP33,92.0360110803324
ARHGAP35,81.11396913335972
ARHGAP36,21.48793035219628
ARHGAP4,34.56667985753858
ARHGAP5,86.24851602690939
ARHGAP6,42.471309853581324
ARHGAP8,13.405223585278987
ARHGAP9,54.88721804511278
ARHGDIB,46.77483181638306
ARHGEF10,26.177285318559555
ARHGEF10L,46.22081519588445
ARHGEF11,93.9256034823902
ARHGEF12,88.88998812821528
ARHGEF15,19.598337950138504
ARHGEF16,54.204590423426986
ARHGEF17,46.52750296794618
ARHGEF19,23.209339137316977
ARHGEF25,63.73169766521567
ARHGEF26,19.014641867827464
ARHGEF3,66.51167392164622
ARHGEF37,25.08903838543728
ARHGEF38,20.48872180451128
ARHGEF39,5.381875741986545
ARHGEF4,87.29719034428176
ARHGEF40,34.22041946972695
ARHGEF5,66.69964384645824
ARHGEF6,92.94618124258014
ARHGEF7,98.98100514444003
ARID1A,48.51602690937871
ARID1B,88.66244558765334
ARID2,27.27542540561932
ARID3A,41.32370399683419
ARID3B,10.53620894341116
ARID4A,72.002374356945
ARID4B,77.22595963593193
ARID5A,57.30114760585675
ARID5B,10.32845271072418
ARIH1,63.1578947368421
ARIH2,54.10565888405223
ARL13A,1.5037593984962403
ARL13B,72.53660466956866
ARL14EP,25.286901464186784
ARL2BP,25.059358923624853
ARL5A,18.5199841709537
ARL6IP4,69.3609022556391
ARL6IP5,75.06925207756233
ARL8B,90.4827859121488
ARMC10,15.017807677087456
ARMC4,6.915314602295211
ARMC6,42.74831816383063
ARMCX1,18.01543332014246
ARMCX2,29.293628808864263
ARNT,56.50969529085872
ARNT2,90.4333201424614
ARNTL,61.16937079540958
ARNTL2,71.21092204194697
ARPC1A,54.86743173723783
ARPC1B,74.01068460625247
ARPC3,84.62603878116343
ARPC4,59.2402057776019
ARPC5,53.957261574990106
ARPIN,15.087059754649784
ARPP19,85.42738425009892
ARRB1,97.18045112781957
ARRB2,97.0419469726949
ARRDC1,47.26948951325683
