Gene,Synapse Status,Synapse Percentile,Cortex,Striatum,hiPSC,Fetal,SynGO,SynDB,SynSysNet
AFG3L2,Not a synapse gene,74.56,1,1,1,0,0,1,0
AFP,Not a synapse gene,10.79,0,0,0,1,0,0,0
AFTPH,Not a synapse gene,30.20,0,0,0,0,0,0,0
AGA,Not a synapse gene,39.09,0,0,0,0,0,0,0
AGAP1,yes,95.39,0,0,1,1,0,1,0
AGAP2,yes,95.98,1,1,0,1,1,1,1
AGAP4,Not a synapse gene,3.91,0,0,0,0,0,0,0
AGBL5,Not a synapse gene,17.94,0,0,0,0,0,0,0
AGFG1,Not a synapse gene,63.35,1,1,0,0,0,0,0
AGGF1,Not a synapse gene,49.81,0,0,0,0,0,0,0
AGL,Not a synapse gene,85.24,0,0,1,0,0,1,0
AGMAT,Not a synapse gene,34.30,0,0,0,0,0,0,0
AGO1,yes,96.32,0,0,1,1,0,0,0
AGO2,yes,98.47,1,1,1,0,0,0,0
AGO3,yes,95.73,0,0,0,0,0,0,0
AGO4,yes,90.86,1,0,0,0,0,0,0
AGPAT1,Not a synapse gene,52.88,1,0,1,0,0,0,0
AGPAT2,Not a synapse gene,28.57,0,0,0,0,0,0,0
AGPAT3,Not a synapse gene,60.64,1,0,0,0,0,0,0
AGPAT4,Not a synapse gene,73.67,0,0,1,0,0,0,0
AGPAT5,Not a synapse gene,33.65,1,0,1,0,0,1,0
AGPS,Not a synapse gene,84.95,1,0,1,0,0,0,0
AGR2,Not a synapse gene,33.08,0,0,0,0,0,0,0
AGTR2,Not a synapse gene,28.18,0,0,0,0,0,0,0
AGTRAP,Not a synapse gene,69.96,0,0,0,0,0,0,0
AGXT,Not a synapse gene,18.24,0,0,0,0,0,0,0
AHCTF1,Not a synapse gene,83.76,0,0,1,0,0,0,0
AHCY,Not a synapse gene,71.60,0,0,1,1,0,0,0
AHCYL1,yes,89.90,1,1,1,0,0,1,0
AHCYL2,Not a synapse gene,66.73,1,1,1,0,0,0,0
AHI1,Not a synapse gene,72.29,1,0,0,0,0,0,0
AHNAK,yes,89.46,0,0,0,1,0,1,0
AHRR,Not a synapse gene,28.31,0,0,0,0,0,0,0
AHSA1,yes,95.99,1,1,1,0,0,1,1
AHSG,Not a synapse gene,44.31,0,0,0,0,0,0,0
AIDA,Not a synapse gene,27.57,0,0,1,0,0,0,0
AIFM1,yes,94.01,1,1,1,0,0,0,0
AIFM3,Not a synapse gene,55.09,1,0,0,0,0,0,0
AIM2,Not a synapse gene,58.05,0,0,0,0,0,0,0
AIMP1,Not a synapse gene,57.97,1,0,1,0,0,0,0
AIP,Not a synapse gene,73.38,1,0,1,0,0,1,0
AIRE,Not a synapse gene,80.88,0,0,0,0,0,0,0
AJAP1,Not a synapse gene,84.84,0,0,0,0,0,0,0
AJUBA,Not a synapse gene,43.09,0,0,0,0,0,0,0
AK1,Not a synapse gene,46.85,1,1,1,0,0,1,0
AK2,Not a synapse gene,53.63,1,0,1,0,0,0,0
