genes,Synonym
HNRNPH1,"['hnRNPH', 'HNRPH1']"
RAF1,"['CRAF', 'Raf-1', 'c-Raf']"
RPL4,['L4']
BARD1,[nan]
BAG3,[nan]
NCOA1,"['F-SRC-1', 'bHLHe74', 'SRC1', 'RIP160', 'KAT13A', 'NCoA-1']"
HDAC6,"['KIAA0901', 'JM21', 'FLJ16239', 'PPP1R90', 'HD6']"
CFTR,"['MRP7', 'TNR-CFTR', 'CFTR/MRP', 'ABC35', 'dJ760C5.1', 'CF', 'ABCC7']"
HSPB1,"['CMT2F', 'Hsp25', 'HSP28', 'Hs.76067', 'HSP27']"
MCM7,"['MCM2', 'CDC47', 'PPP1R104']"
RPS3A,"['MFTL', 'S3A']"
PDE4D,['DPDE3']
ABR,['MDB']
NEDD4L,"['RSP5', 'KIAA0439', 'NEDD4-2']"
IPO5,"['KPNB3', 'IMB3', 'RANBP5', 'MGC2068', 'PSE1']"
PTPRK,['R-PTP-kappa']
CDIP1,"['C16orf5', 'CDIP', 'LITAFL']"
ATP2C1,"['ATP2C1A', 'SPCA1', 'BCPM', 'KIAA1347', 'PMR1']"
TRIM27,"['RNF76', 'RFP']"
ESR2,"['Erb', 'NR3A2', 'ER-beta']"
ATP9A,"['ATPIIA', 'KIAA0611']"
BEX1,[nan]
MDH1,[nan]
DDX5,"['p68', 'HLR1', 'G17P1']"
HSPG2,"['perlecan', 'PRCAN', 'SJS1']"
SEC23A,[nan]
ENO1,"['PPH', 'ENO1L1', 'MBP-1', 'MPB1']"
PLCB1,"['PLC154', 'KIAA0581', 'PLC-I']"
ATP2A2,"['DAR', 'SERCA2', 'ATP2B']"
ITGB5,[nan]
UPF1,"['NORF1', 'HUPF1', 'pNORF1', 'KIAA0221', 'smg-2', 'RENT1']"
ALDOA,[nan]
MACROD2,"['dJ631M13.5', 'C20orf133']"
ITPR2,"['CFAP48', 'IP3R2']"
RAC1,"['Rac-1', 'p21-Rac1', 'TC-25']"
SHMT2,['SHMT']
RPS27,"['MPS-1', 'S27', 'MPS1']"
PRKACB,['PKACb']
KLC1,"['hKLC1J', 'hKLC1P', 'hKLC1S', 'hKLC1G', 'hKLC1B', 'hKLC1N', 'KNS2', 'hKLC1R', 'KNS2A', 'KLC']"
SMARCC1,"['Rsc8', 'BAF155', 'CRACC1', 'SRG3']"
KIF1A,"['C2orf20', 'SPG30', 'UNC104', 'ATSV']"
EWSR1,['EWS']
NOTCH1,['TAN1']
RPL13A,"['TSTA1', 'L13A']"
BCAR1,"['CASS1', 'CAS', 'Crkas', 'P130Cas']"
PRKAR1A,"['CNC1', 'TSE1', 'PRKAR1']"
MAGI1,"['MAGI-1', 'WWP3', 'TNRC19', 'BAP1', 'BAIAP1', 'AIP3']"
USP15,"['KIAA0529', 'UNPH4']"
NTRK3,['TRKC']
ATF2,"['CRE-BP1', 'HB16', 'TREB7', 'CREB2']"
HSCB,"['DNAJC20', 'HSC20', 'Jac1']"
HGS,"['Vps27', 'ZFYVE8', 'Hrs']"
ITGA4,['CD49D']
CDK14,"['PFTAIRE1', 'PFTK1']"
ARRB1,['ARR1']
PRPF8,"['SNRNP220', 'RP13', 'PRPC8', 'hPrp8', 'Prp8']"
PCMT1,[nan]
RPS13,['S13']
PRNP,"['PRIP', 'CJD', 'GSS', 'AltPrP', 'PRP', 'CD230']"
ACACB,"['ACCbeta', 'ACACbeta', 'HACC275', 'ACCB', 'ACC-beta', 'ACC2']"
SORBS1,"['KIAA1296', 'CAP', 'ponsin', 'SH3D5', 'FLJ12406', 'sh3p12']"
GDI1,"['FLJ41411', 'MRX48', 'GDIL', 'MRX41', 'RABGDIA', 'XAP-4', 'OPHN2']"
RUNDC3A,"['RAP2IP', 'RPIP8']"
MAP2,"['MAP2A', 'MAP2C', 'MAP2B']"
EMD,"['LEMD5', 'STA']"
PICALM,"['CALM', 'CLTH']"
RPL15,"['RPL10', 'RPYL10', 'RPLY10', 'L15', 'EC45']"
VHL,['VHL1']
ARRB2,"['BARR2', 'DKFZp686L0365', 'ARR2']"
CD81,"['TSPAN28', 'TAPA-1', 'TAPA1']"
ANKS1A,"['ANKS1', 'KIAA0229']"
MET,"['HGFR', 'DFNB97', 'RCCP2']"
SMARCE1,['BAF57']
KCNQ2,"['EBN', 'Kv7.2', 'BFNC', 'EBN1', 'HNSPC', 'ENB1', 'KCNA11']"
MVP,"['LRP', 'VAULT1']"
SMAD3,"['JV15-2', 'MADH3', 'HsT17436']"
POLR2A,"['RPB1', 'POLR2', 'POLRA']"
IGSF8,"['CD316', 'PGRL', 'CD81P3', 'EWI2']"
CNTN5,"['NB-2', 'hNB-2']"
RNF11,"['CGI-123', 'Sid1669p', 'MGC51169']"
NCALD,[nan]
KIF13B,"['GAKIN', 'KIAA0639']"
CAMK2D,['CAMKD']
PKN2,"['Pak-2', 'PRKCL2', 'STK7', 'PRK2']"
VSNL1,"['HPCAL3', 'HUVISL1', 'HLP3', 'VILIP', 'VILIP-1']"
TNFRSF1A,"['TNFR60', 'TNFR1', 'TNFAR', 'TNF-R-I', 'CD120a', 'TNF-R55', 'TNF-R']"
ATP1A3,['DYT12']
GNG3,[nan]
TUBB4A,"['TUBB4', 'beta-5', 'DYT4']"
CD44,"['MIC4', 'CSPG8', 'CD44R', 'IN', 'MDU3', 'MDU2', 'Pgp1', 'MC56', 'HCELL']"
TENM4,"['ODZ4', 'KIAA1302', 'Ten-M4', 'TEN4']"
GART,"['PGFT', 'PRGS', 'GARS-AIRS-GART']"
RASGRF1,"['CDC25L', 'GRF1', 'H-GRF55', 'CDC25', 'GRF55', 'PP13187', 'GNRP']"
