genes,Synonym
FGFR1,"['KAL2', 'FLT2', 'N-SAM', 'BFGFR', 'H2', 'CD331', 'CEK', 'H4', 'H3', 'H5', 'FLG']"
GRM1,"['PPP1R85', 'GPRC1A', 'mGlu1', 'MGLUR1']"
NDRG3,[nan]
AGO3,"['EIF2C3', 'hAGO3', 'FLJ12765']"
OBSL1,['KIAA0657']
FLOT1,[nan]
RAB2A,['RAB2']
USP11,['UHX1']
SETDB1,"['ESET', 'KG1T', 'KMT1E', 'KIAA0067', 'TDRD21']"
LIMCH1,"['LMO7B', 'DKFZP686A01247', 'LIMCH1A']"
CUL2,[nan]
JPH4,"['JPHL1', 'KIAA1831']"
SLC7A14,"['PPP1R142', 'KIAA1613']"
RPS10,"['MGC88819', 'S10']"
RANBP9,['RanBPM']
ARF3,[nan]
MPP5,[]
RPL29,"['L29', 'HUMRPL29', 'HIP', 'RPL29P10']"
LRRK1,"['RIPK6', 'ROCO1', 'FLJ23119', 'KIAA1790']"
CD9,"['TSPAN29', 'MIC3', 'BA2', 'MRP-1', 'P24']"
TRIP6,"['MGC10556', 'ZRP-1', 'OIP1', 'MGC3837', 'MGC10558', 'MGC29959', 'MGC4423']"
PRKDC,"['p460', 'p350', 'DNA-PKcs', 'DNAPK', 'DNA-PKC', 'HYRC', 'XRCC7', 'DNAPKc', 'HYRC1', 'DNPK1']"
CPNE6,[nan]
RPL35,['L35']
TNKS,"['TNKS1', 'PARP-5a', 'pART5', 'ARTD5', 'TIN1', 'TINF1', 'PARP5A']"
RPLP1,['LP1']
CUL7,"['KIAA0076', 'dJ20C7.5']"
GRIK2,"['GLUR6', 'MRT6', 'GluK2']"
GPI,"['NLK', 'AMF']"
PPP1CA,"['PPP1A', 'PP1A', 'PP-1A', 'PP1alpha']"
NCOA2,"['KAT13C', 'bHLHe75', 'NCoA-2', 'GRIP1', 'TIF2']"
PCM1,['PTC4']
CFL1,['CFL']
DMTN,"['EPB49', 'DMT']"
PSMA1,"['MGC14542', 'MGC1667', 'MGC14751', 'MGC23915', 'HC2', 'MGC21459', 'MGC14575', 'MGC22853', 'NU', 'PROS30']"
SNX3,['Grd19']
NF2,"['BANF', 'SCH', 'merlin', 'merlin-1', 'ACN']"
AGAP1,"['KIAA1099', 'GGAP1', 'CENTG2']"
PTPN14,"['PTPD2', 'PEZ']"
PML,"['MYL', 'TRIM19', 'RNF71']"
WASF1,"['WAVE', 'SCAR1', 'WAVE1', 'KIAA0269']"
SET,"['TAF-I', 'PHAPII', 'IPP2A2', '2PP2A', 'IGAAD', 'TAF-IBETA']"
TSG101,"['VPS23', 'TSG10']"
CCDC8,"['DKFZp564K0322', '3M3', 'PPP1R20']"
PPP3R1,"['CNB1', 'CALNB1', 'CNB']"
CNTN4,['BIG-2']
CDH13,['CDHH']
RBM39,"['fSAP59', 'CC1.3', 'HCC1', 'RNPC2', 'CAPER', 'CAPERalpha']"
PPP1CB,"['PP1c', 'PPP1beta', 'MP', 'PP1B', 'PP1beta', 'PP-1B']"
TLN1,"['ILWEQ', 'TLN']"
MYH7,"['MPD1', 'CMD1S', 'CMH1']"
SBF1,"['MTMR5', 'DENND7A']"
KAZN,"['KAZRIN', 'FLJ43806', 'C1orf196', 'KIAA1026']"
UBQLN1,"['DSK2', 'XDRP1', 'PLIC-1', 'DA41']"
PITHD1,"['TXNL1CL', 'C1orf128', 'HT014']"
REL,"['HIVEN86A', 'I-Rel', 'c-Rel']"
LRPPRC,"['LRP130', 'GP130', 'LSFC']"
TSC22D1,"['TSC22', 'TGFB1I4', 'MGC17597']"
CACNA1G,"['Cav3.1', 'NBR13']"
KDM5B,"['PLU-1', 'RBBP2H1A', 'CT31', 'JARID1B', 'PPP1R98']"
PIK3CA,['PI3K']
TERF2IP,['RAP1']
NCAM1,"['NCAM', 'CD56']"
RALYL,['HNRPCL3']
OCRL,"['Dent-2', 'OCRL1']"
DNAJA1,"['hdj-2', 'dj-2', 'HSJ2', 'NEDD7', 'HSPF4']"
RNPS1,[nan]
UBE2D3,['UbcH5C']
SULT4A1,"['hBR-STL-1', 'SULTX3']"
KHDRBS2,"['SLM-1', 'SLM1', 'MGC26664']"
VDAC1,"['PORIN', 'MGC111064']"
RPL37A,['L37A']
PRKG1,"['PRKGR1B', 'PGK', 'PKG', 'PKG1', 'PRKG1B']"
DNAJC5,"['FLJ13070', 'CLN4', 'DNAJC5A', 'FLJ00118']"
WDR1,['AIP1']
PHLPP1,"['SCOP', 'KIAA0606', 'PLEKHE1', 'PPM3A', 'PHLPP']"
GLRB,[nan]
KAT6B,"['ZC2HC6B', 'MOZ2', 'Morf', 'MYST4', 'querkopf', 'qkf']"
HSPA4,"['HSPH2', 'HS24/P52']"
MAP4K4,"['HGK', 'FLH21957', 'NIK']"
HERC1,"['p532', 'p619']"
ABLIM1,"['LIMAB1', 'limatin', 'ABLIM']"
MEGF8,"['C19orf49', 'FLJ22365', 'SBP1', 'EGFL4']"
AP2A2,"['DKFZP564D1864', 'HIP9', 'KIAA0899', 'ADTAB', 'CLAPA2', 'HYPJ']"
NDUFS1,['CI-75k']
DNMT1,"['DNMT', 'MCMT', 'CXXC9']"
MAP3K3,"['MAPKKK3', 'MEKK3']"
RPS14,"['EMTB', 'S14']"
HTT,"['HD', 'IT15']"
NCDN,"['NCDN-1', 'NCDN-2']"
VAV3,[nan]
ACOT7,"['MGC1126', 'BACH', 'CTE-II', 'ACT', 'LACH1', 'hBACH', 'ACH1']"
PARD3,"['Baz', 'PPP1R118', 'PAR3', 'PARD3A', 'Bazooka', 'ASIP']"
KDM2B,"['CXXC2', 'JHDM1B', 'FBXL10', 'Fbl10', 'PCCX2']"
MCF2L,"['DBS', 'OST', 'ARHGEF14', 'KIAA0362']"
SH3KBP1,['CIN85']
PAXIP1,"['CAGF29', 'CAGF28', 'PTIP', 'PAXIP1L', 'TNRC2']"
EPHA7,['Hek11']
PLCB4,[nan]
INSR,['CD220']
PCSK5,"['PC6', 'SPC6', 'PC5']"
DHX15,"['PRP43', 'DBP1', 'PrPp43p', 'HRH2', 'PRPF43', 'DDX15']"
DSP,"['DPII', 'KPPS2', 'PPKS2', 'DPI']"
CHEK2,"['RAD53', 'PP1425', 'CDS1', 'CHK2', 'bA444G7', 'HuCds1']"
RNH1,"['RAI', 'RNH']"
EHD1,"['H-PAST', 'PAST1', 'HPAST1', 'FLJ44618', 'FLJ42622']"
NECAP1,['DKFZP566B183']
PTN,"['HBNF', 'HBGF8', 'NEGF1']"
DYNC1I1,"['DNCI1', 'DNCIC1']"
RDX,['DFNB24']
FBN1,"['WMS', 'SGS', 'MASS', 'MFS1', 'FBN', 'OCTD']"
KANK2,"['ANKRD25', 'MXRA3', 'KIAA1518']"
AURKA,"['STK15', 'ARK1', 'STK6', 'PPP1R47', 'AurA', 'STK7', 'AIK', 'BTAK']"
DNAJA2,"['DNJ3', 'CPR3', 'DNAJ', 'HIRIP4']"
MCM6,['Mis5']
GDAP1,"['CMT2K', 'CMT4', 'CMT4A']"
BAZ2B,['WALp4']
HIF1A,"['HIF-1alpha', 'PASD8', 'HIF1', 'bHLHe78', 'MOP1']"
MYO1C,"['myr2', 'MyoIC', 'NMI']"
LAMA3,"['epiligrin', 'kalinin-165kDa', 'LAMNA', 'BM600-150kDa', 'nicein-150kDa']"
PRPF19,"['PRP19', 'hPSO4', 'NMP200', 'UBOX4', 'PSO4', 'SNEV']"
HDLBP,"['VGL', 'HBP']"
RANBP2,"['NUP358', 'ADANE', 'ANE1']"
SDHA,"['SDHF', 'FP', 'SDH2']"
RAB21,['KIAA0118']
MCM3,[nan]
TUBG2,[nan]
COPS6,"['MOV34-34KD', 'CSN6']"
EZH2,"['KMT6A', 'KMT6', 'ENX-1', 'EZH1']"
RB1CC1,"['PPP1R131', 'KIAA0203', 'ATG17', 'DRAGOU14', 'Cc1', 'FIP200']"
CDC42BPA,"['FLJ23347', 'PK428', 'MRCKA', 'KIAA0451', 'MRCK']"
UBA52,"['MGC126881', 'MGC126879', 'MGC57125', 'L40', 'RPL40', 'CEP52', 'HUBCEP52']"
RAD21,"['KIAA0078', 'SCC1', 'hHR21']"
CACYBP,"['S100A6BP', 'SIP']"
NLK,[nan]
SOS1,"['GF1', 'GINGF', 'HGF']"
NDFIP1,"['N4WBP5', 'MGC10924']"
DDX1,['DBP-RB']
REEP5,"['C5orf18', 'DP1', 'TB2', 'POB16', 'D5S346', 'Yip2e']"
NOP56,"['SCA36', 'NOL5A']"
NOS2,"['NOS', 'HEP-NOS', 'NOS2A', 'iNOS']"
TUBB2B,"['DKFZp566F223', 'MGC8685', 'bA506K6.1']"
MYO10,"['KIAA0799', 'MyoX']"
PSMD1,"['Rpn2', 'S1', 'P112']"
MAPK14,"['CSBP1', 'CSPB1', 'Mxi2', 'p38', 'PRKM14', 'PRKM15', 'CSBP2']"
ECT2,['ARHGEF31']
MAP3K1,"['MEKK1', 'MAPKKK1', 'MEKK']"
MARK3,"['PAR-1A', 'CTAK1', 'KP78']"
CLTCL1,"['CLH22', 'CLTD', 'CLTCL', 'CHC22']"
UBE2K,"['UBC1', 'HYPG', 'HIP2']"
ALS2,['ALS2CR6']
GRN,"['PCDGF', 'CLN11', 'PGRN']"
EPHA2,['ECK']
EIF4H,"['KIAA0038', 'WBSCR1', 'WSCR1']"
RPS9,['S9']
MYLK,"['smMLCK', 'MYLK1', 'MLCK', 'MLCK1']"
KLC2,['FLJ12387']
RET,"['MTC1', 'MEN2B', 'PTC', 'RET51', 'MEN2A', 'CDHF12', 'CDHR16', 'HSCR1']"
REV3L,"['REV3', 'POLZ']"
PAN2,"['hPAN2', 'USP52', 'KIAA0710']"
EIF4B,[nan]
CHN1,"['RhoGAP2', 'ARHGAP2', 'n-chimerin', 'DURS2', 'CHN']"
OXCT1,"['OXCT', 'SCOT']"
ATP6AP2,"['ATP6M8-9', 'RENR', 'PRR', 'APT6M8-9', 'ATP6IP2', 'M8-9']"
HDAC9,"['MITR', 'HDAC7B', 'HD7', 'KIAA0744', 'HDAC']"
BAZ1A,"['hACF1', 'WALp1', 'ACF1', 'WCRF180']"
MATK,"['HYLTK', 'CTK', 'Lsk', 'HYL', 'MGC2101', 'CHK', 'MGC1708', 'HHYLTK', 'DKFZp434N1212']"
ARFGEF2,['BIG2']
EHMT2,"['G9A', 'Em:AF134726.3', 'KMT1C', 'NG36/G9a', 'C6orf30', 'BAT8']"
MEF2C,[nan]
SIN3A,"['DKFZP434K2235', 'KIAA0700']"
HDAC5,"['NY-CO-9', 'FLJ90614', 'KIAA0600']"
SLC22A17,"['BOCT', 'NGALR', 'BOIT']"
RAP1GAP,"['RAP1GAP1', 'KIAA0474', 'RAP1GAPII', 'RAP1GA1']"
VAV2,[nan]
TOP2B,"['TOPIIB', 'top2beta']"
AIFM1,"['NAMSD', 'AIF', 'PDCD8', 'CMTX4', 'AUNX1', 'DFNX5']"
RASA1,"['GAP', 'p120', 'p120RASGAP', 'p120GAP', 'RASA', 'CM-AVM']"
EPHB1,"['EPHT2', 'Hek6']"
EIF4A2,"['EIF4A', 'BM-010', 'EIF4F', 'DDX2B']"
TERF1,"['TRBF1', 'PIN2', 'TRF1', 'TRF']"
CKB,['CKBB']
TUBB4B,"['TUBB2C', 'Beta2']"
BSG,"['CD147', 'OK', 'EMMPRIN', 'EMPRIN']"
PLCG2,[nan]
ARHGEF11,"['GTRAP48', 'KIAA0380', 'PDZ-RHOGEF']"
BEX2,['DJ79P11.1']
SKP1,"['TCEB1L', 'MGC34403', 'EMC19', 'p19A', 'OCP-II', 'SKP1A', 'OCP2']"
WWP2,['AIP2']
TERF2,"['TRF2', 'TRBF2']"
KIF5A,"['NKHC', 'MY050', 'D12S1889', 'SPG10']"
PDLIM7,['ENIGMA']
CAPN3,"['nCL-1', 'p94', 'LGMD2A', 'CANP3', 'LGMD2']"
GOLGA2,"['GM130', 'golgin-95']"
TAB2,"['MAP3K7IP2', 'KIAA0733']"
RBMX,"['HNRNPG', 'RNMX', 'hnRNP-G']"
TJP2,"['X104', 'ZO-2', 'ZO2', 'DFNA51']"
ZC3HAV1,"['ZAP', 'ZC3HDC2', 'FLB6421', 'PARP13', 'MGC48898', 'FLJ13288', 'ARTD13', 'ZC3H2']"
AKAP13,"['Ht31', 'HA-3', 'PROTO-LB', 'c-lbc', 'ARHGEF13', 'AKAP-Lbc', 'LBC', 'BRX']"
PPP3CB,"['CALNA2', 'PP2Bbeta', 'CNA2', 'CALNB']"
PIAS1,"['GBP', 'DDXBP1', 'GU/RH-II', 'ZMIZ3']"
CD74,"['CLIP', 'DHLAG']"
MACF1,"['KIAA1251', 'ACF7', 'KIAA0465', 'MACF', 'Lnc-PMIF', 'FLJ45612', 'ABP620', 'FLJ46776', 'KIAA0754']"
TBC1D5,['KIAA0210']
PRKAR2B,['PRKAR2']
RPL23A,['L23A']
SYNE2,"['KIAA1011', 'NUANCE', 'Nesp2', 'SYNE-2', 'NUA', 'Nesprin-2', 'DKFZP434H2235']"
POLR3B,"['FLJ10388', 'C128', 'RPC2']"
VDAC3,['HD-VDAC3']
KCND2,"['Kv4.2', 'KIAA1044', 'RK5']"
RAP1GDS1,['SmgGDS']
APPBP2,"['PAT1', 'Hs.84084', 'KIAA0228']"
VWF,['F8VWF']
RNF31,"['ZIBRA', 'FLJ10111', 'HOIP', 'FLJ23501', 'Paul']"
HNRNPF,['HNRPF']
NDRG1,"['CAP43', 'RTP', 'TDD5', 'DRG1', 'NDR1']"
MAP1B,"['MAP5', 'PPP1R102']"
SNRNP70,"['RNPU1Z', 'SNRP70', 'Snp1', 'RPU1', 'U1-70K']"
NUDC,[nan]
FBXO44,"['FBX30', 'Fbx44', 'Fbxo6a', 'FBG3', 'MGC14140']"
UBASH3B,"['KIAA1959', 'STS-1', 'TULA-2', 'TULA2']"
GRAMD1B,"['LINC01059', 'KIAA1201']"
IL1RAPL2,"['IL1R9', 'IL-1R9', 'TIGIRR-1', 'IL1RAPL-2']"
KHSRP,"['FUBP2', 'FBP2', 'KSRP']"
SF3B2,"['SAP145', 'SF3b145', 'SF3b1', 'Cus1']"
CUL5,['VACM-1']
ADRB2,"['B2AR', 'BAR', 'ADRBR', 'ADRB2R']"
DDB1,[nan]
USP2,['UBP41']
MAP4,[nan]
ATP8A2,"['ATPIB', 'ML-1']"
RCN1,"['RCN', 'FLJ37041', 'PIG20', 'Rcal']"
PTPRN,"['IA-2', 'ICA512']"
SKAP2,"['SKAP-HOM', 'SAPS', 'SCAP2', 'SKAP55R', 'RA70']"
RPA3,['REPA3']
RPA2,[nan]
ILF2,['NF45']
NRN1,['NRN']
TF,"['PRO2086', 'PRO1557']"
AURKB,"['STK12', 'AIM-1', 'AurB', 'IPL1', 'PPP1R48', 'Aik2', 'ARK2', 'STK5']"
UNC5C,[nan]
NBEA,"['BCL8B', 'KIAA1544', 'LYST2', 'FLJ10197']"
RPS21,['S21']
JAK1,"['JAK1B', 'JTK3', 'JAK1A']"
PPP1CC,"['PP1gamma', 'PP1C']"
ASIC2,"['ACCN1', 'hBNaC1', 'MDEG', 'BNC1', 'ACCN', 'BNaC1', 'ASIC2a']"
CCT3,"['TRIC5', 'Cctg']"
NAP1L1,"['NAP1L', 'NRP', 'MGC23410', 'NAP1', 'MGC8688']"
PLXNA2,"['FLJ11751', 'OCT', 'FLJ30634', 'KIAA0463', 'PLXN2']"
CTNNA3,"['MGC26194', 'VR22']"
VAPB,"['VAP-C', 'VAP-B', 'ALS8']"
PTPN1,['PTP1B']
PLK1,['PLK']
CAPZB,[nan]
GRIN1,"['GluN1', 'NMDAR1']"
NCOA3,"['SRC3', 'TNRC16', 'SRC-3', 'p/CIP', 'ACTR', 'TRAM-1', 'AIB1', 'RAC3', 'KAT13B', 'bHLHe42', 'CAGH16']"
PCDH15,"['USH1F', 'CDHR15', 'DFNB23']"
MAPK8,"['PRKM8', 'JNK', 'SAPK1', 'JNK1']"
DOCK7,"['KIAA1771', 'ZIR2']"
KAT5,"['TIP60', 'HTATIP', 'PLIP', 'ESA1', 'cPLA2', 'ZC2HC5', 'HTATIP1']"
TPM1,"['CMH3', 'C15orf13']"
DDX17,['P72']
PPP2R5B,"['PR61B', 'FLJ35411', 'B56beta', 'B56B']"
PC,['PCB']
TECR,"['SC2', 'MRT14', 'GPSN2', 'TER']"
POLR2E,"['RPABC1', 'hsRPB5', 'RPB5', 'XAP4', 'hRPB25']"
PDHA1,['PDHA']
USP32,"['USP10', 'NY-REN-60']"
SEC23B,"['HEMPAS', 'CDAII', 'CDA-II', 'CDAN2']"
GNB2,[nan]
GIT2,"['KIAA0148', 'PKL']"
KLHL22,"['KELCHL', 'FLJ14360']"
ATP4A,['ATP6A']
GANAB,"['KIAA0088', 'G2AN', 'GIIA', 'GluII']"
CIT,"['CITK', 'KIAA0949', 'STK21', 'CRIK']"
CSNK1E,"['HCKIE', 'CKIepsilon', 'CKIE']"
SCN8A,"['CerIII', 'NaCh6', 'CIAT', 'PN4', 'Nav1.6', 'MED']"
PCBP1,"['hnRNP-X', 'hnRNP-E1', 'HNRPE1', 'HNRPX']"
PRKCD,[nan]
CAPZA2,"['CAPPA2', 'CAPZ']"
NFKBIA,"['IkappaBalpha', 'IKBA', 'NFKBI', 'MAD-3']"
GLYR1,"['N-PAC', 'BM045', 'NP60', 'HIBDL']"
HELZ,"['KIAA0054', 'DHRC', 'HUMORF5']"
SOS2,[nan]
ARHGEF6,"['Cool2', 'Cool-2', 'alphaPIX', 'alpha-PIX', 'ÃŽÂ±Pix', 'MRX46', 'KIAA0006']"
RABEP1,"['RAB5EP', 'rabaptin-5', 'neurocrescin', 'RABPT5']"
PARK7,"['DJ1', 'DJ-1', 'GATD2']"
COPS7A,['CSN7A']
TPR,[nan]
GNAI3,['87U6']
LGR4,['GPR48']
LZTR1,"['BTBD29', 'LZTR-1']"
TUBG1,"['TUBGCP1', 'TUBG']"
MYO18A,"['KIAA0216', 'TIAF1', 'MysPDZ']"
UBR4,"['RBAF600', 'p600', 'ZUBR1', 'KIAA0462', 'KIAA1307']"
YTHDC2,"['FLJ2194', 'FLJ10053', 'DKFZp564A186']"
RIF1,"['FLJ12870', 'FLJ10599']"
ARAP2,"['PARX', 'CENTD1']"
CDKN1A,"['P21', 'WAF1', 'CIP1', 'p21Cip1/Waf1', 'CAP20', 'p21CIP1', 'CDKN1', 'SDI1']"
SFN,['YWHAS']
MIB2,"['skeletrophin', 'FLJ39787', 'ZZANK1', 'ZZZ5']"
SPOCK1,"['TIC1', 'testican-1', 'SPOCK']"
ASNS,[nan]
MON2,['KIAA1040']
SERBP1,"['CGI-55', 'PAI-RBP1', 'HABP4L', 'CHD3IP', 'DKFZP564M2423', 'PAIRBP1']"
RPL38,['L38']
ACTA2,['ACTSA']
PLXNA4,"['PLXNA4B', 'PLXNA4A', 'DKFZp434G0625PRO34003', 'KIAA1550', 'FAYV2820']"
GOPC,"['GOPC1', 'CAL', 'dJ94G16.2', 'FIG', 'PIST']"
SPTBN4,"['KIAA1642', 'SPTBN3']"
RPS12,['S12']
RUVBL1,"['INO80H', 'ECP54', 'Pontin52', 'TIP49a', 'NMP238', 'TIH1', 'RVB1', 'TIP49']"
ARF1,[nan]
SHANK3,"['prosap2', 'SPANK-2', 'PSAP2', 'KIAA1650']"
TOMM34,"['HTOM34P', 'TOM34']"
LZTS2,"['KIAA1813', 'LAPSER1']"
FLNC,"['ABPL', 'ABP-280', 'FLN2']"
ANK1,"['ANK', 'SPH1']"
SUPT6H,"['SPT6H', 'KIAA0162']"
DNHD1,"['FLJ32752', 'FLJ46184', 'FLJ35709', 'C11orf47', 'DNHD1L', 'DKFZp686J0796', 'DHCD1', 'CCDC35']"
RABGAP1L,"['TBC1D18', 'HHL', 'KIAA0471', 'FLJ38519']"
CPS1,['GATD6']
TRAF4,"['RNF83', 'MLN62', 'CART1']"
HMOX2,['HO-2']
ELMO1,"['CED-12', 'KIAA0281', 'CED12', 'ELMO-1']"
SGCZ,['ZSG1']
CLTA,['Lca']
PREPL,['KIAA0436']
SLC12A5,"['KCC2', 'KIAA1176']"
GGCT,"['CRF21', 'MGC3077', 'C7orf24', 'GCTG', 'Ggc']"
TRIM2,"['KIAA0517', 'RNF86', 'CMT2R']"
SMARCC2,"['CRACC2', 'BAF170', 'Rsc8']"
TMPO,"['TP', 'LAP2', 'LEMD4']"
UBR5,"['KIAA0896', 'HYD', 'DD5', 'EDD1', 'EDD']"
KIF13A,"['RBKIN', 'bA500C11.2']"
NCOR1,"['hN-CoR', 'hCIT529I10', 'N-CoR', 'MGC104216', 'KIAA1047', 'PPP1R109', 'TRAC1']"
HAGH,"['HAGH1', 'GLO2', 'GLXII']"
GABBR2,"['GABABR2', 'GPRC3B', 'HG20', 'GPR51']"
KLHL2,['MAV']
FANCI,"['KIAA1794', 'FLJ10719']"
NDRG2,"['SYLD', 'KIAA1248']"
RBFOX2,"['FOX-2', 'HRNBP2', 'RBM9', 'HNRBP2']"
HNRNPUL1,"['E1B-AP5', 'FLJ12944', 'E1BAP5', 'HNRPUL1']"
GNAI2,"['GNAI2B', 'GIP']"
CEP170B,"['FAM68C', 'Cep170R', 'KIAA0284']"
FLNB,"['FH1', 'FLN1L', 'LRS1', 'TABP', 'ABP-278', 'TAP']"
RICTOR,"['MGC39830', 'AVO3', 'KIAA1999', 'PIA']"
ATRN,"['MGCA', 'DPPT-L']"
TCF3,"['MGC129648', 'E2A', 'VDIR', 'ITF1', 'bHLHb21', 'p75', 'E47', 'MGC129647']"
NEDD9,"['HEF1', 'CAS-L', 'CASS2']"
ADAM11,['MDC']
UCHL5,"['UCH37', 'INO80R', 'CGI-70']"
EIF1B,['GC20']
DAB1,[nan]
PHGDH,"['PGDH', 'SERA', 'PDG']"
SP100,[nan]
AXIN1,['PPP1R49']
LRP2,"['DBS', 'gp330']"
DPYSL2,"['DRP2', 'DRP-2', 'CRMP2', 'DHPRP2']"
PTPRC,"['T200', 'CD45', 'GP180', 'LCA']"
ILK,[nan]
PRDX1,"['PAGA', 'NKEFA']"
TPM3,"['TRK', 'NEM1']"
ASPM,"['FLJ10549', 'MCPH5', 'Calmbp1', 'ASP', 'FLJ10517']"
TFRC,"['CD71', 'TFR1', 'p90']"
LIG4,[nan]
RACGAP1,['MgcRacGAP']
ERC2,"['Spc110', 'SPBC110', 'CAST1', 'CAST', 'KIAA0378', 'ELKSL']"
BASP1,"['NAP22', 'NAP-22', 'CAP23', 'CAP-23']"
SIPA1L1,"['SPAR1', 'KIAA0440', 'E6TP1']"
TMOD2,['NTMOD']
PRMT5,"['SKB1', 'HRMT1L5', 'SKB1Hs']"
SUPT16H,"['FACT', 'FLJ10857', 'CDC68', 'FACTP140', 'SPT16/CDC68', 'FLJ14010']"
ATXN2,"['TNRC13', 'ATX2', 'SCA2']"
RUVBL2,"['TIP49b', 'Reptin52', 'TIH2', 'INO80J', 'TIP48', 'RVB2', 'ECP51']"
PSMD2,"['MGC14274', 'S2', 'P97', 'TRAP2', 'Rpn1']"
ARHGAP33,"['TCGAP', 'SNX26', 'FLJ39019']"
RTN1,['NSP']
BCR,"['ALL', 'D22S11', 'CML', 'PHL', 'D22S662', 'BCR1']"
CDK4,['PSK-J3']
SCN1A,"['GEFSP2', 'FEB3', 'Nav1.1', 'HBSCI', 'SCN1', 'SMEI', 'NAC1']"
AP3B2,['NAPTB']
NCAPH2,"['CAP-H2', 'hCAP-H2', '384D8-2']"
TSPAN7,"['TM4SF2', 'DXS1692E', 'CD231', 'MRX58', 'MXS1', 'A15', 'TALLA-1']"
HNRNPR,"['HNRPR', 'hnRNP-R']"
HSPA1B,['HSP70-2']
GNAI1,[nan]
DNAH14,"['MGC27277', 'Dnahc14', 'HL-18', 'C1orf67', 'DKFZp781B1548', 'HL18']"
LGALS3BP,"['gp90', 'TANGO10B', 'CyCAP', 'MAC-2-BP', 'M2BP', 'BTBD17B', '90K']"
DTNA,"['DTN', 'DRP3', 'DTN-3', 'DTN-1', 'DTN-2', 'D18S892E']"
CDC42BPB,"['MRCKB', 'KIAA1124']"
EIF4A1,"['DDX2A', 'EIF-4A', 'EIF4A']"
GNB5,['GB5']
UBA6,"['UBE1L2', 'FLJ10808']"
CIRBP,['CIRP']
KMT2B,"['MLL2', 'MLL4', 'TRX2', 'HRX2', 'MLL1B', 'KIAA0304', 'CXXC10', 'WBP7']"
APEX1,"['APE', 'HAP1', 'APE-1', 'APEN', 'REF-1', 'APX', 'REF1', 'APEX']"
DDX21,"['GURDB', 'RH-II/GU']"
MBP,[nan]
DIAPH2,"['POF2', 'POF', 'DIA', 'DIA2']"
PATZ1,"['dJ400N23', 'RIAZ', 'MAZR', 'ZBTB19', 'PATZ', 'ZNF278', 'ZSG']"
XRN2,[nan]
RAB10,[nan]
COPA,['HEP-COP']
CAPN1,"['muCL', 'muCANP', 'CANPL1', 'CANP']"
G3BP1,"['HDH-VIII', 'G3BP']"
NONO,"['NRB54', 'P54NRB', 'P54', 'PPP1R114', 'NMT55']"
ARHGAP26,"['OPHN1L1', 'KIAA0621', 'OPHN1L', 'GRAF']"
KCTD17,['FLJ12242']
ITK,"['LYK', 'EMT', 'PSCTK2']"
RPL32,['L32']
CLIP3,"['RSNL1', 'CLIPR-59']"
STOM,"['EPB7', 'EPB72', 'BND7']"
GNPTAB,"['GNPTA', 'MGC4170', 'KIAA1208']"
AKT2,['PKBÃŽÂ²']
PRMT1,"['HRMT1L2', 'ANM1', 'HCP1']"
IPO13,"['IMP13', 'RANBP13', 'KIAA0724']"
HDAC2,"['RPD3', 'YAF1', 'KDAC2']"
MYO1B,['myr1']
CDK16,"['PCTAIRE1', 'FLJ16665', 'PCTGAIRE', 'PCTK1', 'PCTAIRE']"
BRCA2,"['FANCD1', 'FANCD', 'FAD1', 'XRCC11', 'FACD', 'FAD', 'BRCC2']"
PTPN11,"['NS1', 'PTP2C', 'BPTP3', 'SH-PTP2', 'SHP2', 'SHP-2']"
SORBS3,"['SCAM-1', 'vinexin', 'SH3D4']"
TOP2A,"['TOPIIA', 'TOP2', 'TOP2alpha']"
NEO1,"['IGDCC2', 'NTN1R2', 'NGN', 'HsT17534']"
ALK,"['CD246', 'ALK1']"
CFLAR,"['I-FLICE', 'MRIT', 'CASP8AP1', 'cFLIP', 'CASH', 'FLAME', 'Casper', 'c-FLIP', 'CLARP', 'FLIP']"
PTPN3,['PTPH1']
CD4,[nan]
CORO1C,"['coronin-3', 'HCRNN4']"
PRDX2,"['NKEFB', 'TDPX1', 'PRP', 'MGC4104', 'PRX2', 'TSA', 'PRXII']"
CELF2,"['Etr-3', 'CUGBP2', 'BRUNOL3', 'NAPOR-2']"
HSP90B1,"['TRA1', 'GP96', 'GRP94']"
KCND3,"['SCA19', 'SCA22', 'Kv4.3', 'KSHIVB']"
LETMD1,"['HCCR2', 'SLC55A3', 'HCCR1', 'HCCR-2', 'HCCR-1', 'HCCR']"
ABCE1,"['RNASELI', 'OABP', 'RLI1', 'RNASEL1', 'RLI', 'RNS4I']"
RYR1,"['MHS1', 'PPP1R137', 'RYR', 'MHS', 'CCO']"
DIAPH3,"['DRF3', 'AUNA1', 'FLJ34705', 'NSDAN', 'AN']"
ATP13A2,"['PARK9', 'HSA9947', 'CLN12']"
HSPH1,"['HSP105B', 'HSP105A', 'KIAA0201', 'NY-CO-25']"
HNRNPL,['HNRPL']
ZDHHC17,"['KIAA0946', 'HYPH', 'HIP14']"
NEFM,"['NEF3', 'NF-M', 'NFM']"
CDC27,"['ANAPC3', 'NUC2', 'APC3', 'D0S1430E', 'D17S978E']"
ZC3H15,['LEREPO4']
SFPQ,"['PPP1R140', 'PSF']"
TP53BP1,"['53BP1', 'TDRD30', 'p202']"
PFKP,"['PFK-C', 'PFKF']"
